name | address | city | state | zip | lat | lng | website | affiliation
Rodrigo Gracie Jiu-Jitsu | 2849 Pacific Coast Highway | Torrance | CA | 90505 | 33.8122 | -118.3591 | https://rodrigogracie.com | Gracie
Gracie Jiu-Jitsu Torrance | 2440 W Carson St | Torrance | CA | 90501 | 33.8314 | -118.3255 | https://gracie-torrance.com | Gracie
Transform Jiu Jitsu Academy | 5146 W 190th St | Torrance | CA | 90503 | 33.8563 | -118.3651 | https://transformjiujitsu.com |
Ethos Jiu Jitsu South Bay | 1861 Lomita Blvd Unit D | Lomita | CA | 90717 | 33.7923 | -118.3182 | https://www.ethossouthbay.com |
Excellence School of Jiu Jitsu | 22223 Palos Verdes Blvd | Torrance | CA | 90505 | 33.8020 | -118.3559 | https://www.esjjsouthbay.com |
Elite Training Center | 1628 S Pacific Coast Hwy | Redondo Beach | CA | 90277 | 33.8392 | -118.3887 | https://www.elitetrainingcenter.net |
Black House MMA | 2416 Artesia Blvd | Redondo Beach | CA | 90278 | 33.8617 | -118.3693 | https://www.blackhouseredondo.com |
Manhattan Beach Jiu Jitsu Club | 135 Richmond St | El Segundo | CA | 90245 | 33.9192 | -118.4091 | https://www.mbjjc.com |
Alliance Jiu-Jitsu South Bay | 4415 Redondo Beach Blvd | Lawndale | CA | 90260 | 33.8873 | -118.3533 | https://alliancejjsouthbay.com | Alliance
Systems Training Center | 13040 Hawthorne Blvd | Hawthorne | CA | 90250 | 33.9063 | -118.3520 | https://www.systemstrainingcenter.com |
Pedro Soriano BJJ Academy | 235 N Gaffey St | San Pedro | CA | 90731 | 33.7378 | -118.2901 | https://www.sanpedrobjj.com |
The Flow Institute: Six Blades Jiu Jitsu | 600 S Pacific Ave Ste 101 | San Pedro | CA | 90731 | 33.7335 | -118.2792 | https://jiujitsusanpedro.com |
Palos Verdes Jiu-Jitsu (Caique Gracie) | 27470 Indian Peak Rd | Rolling Hills Estates | CA | 90274 | 33.7708 | -118.3575 | | Gracie
Versus Fitness & Martial Arts | 1431 N Montebello Blvd | Montebello | CA | 90640 | 34.0253 | -118.1092 | https://www.versusfitnesscenter.com |
Academy Jiu-Jitsu & Kickboxing | 9220 Lakewood Blvd | Downey | CA | 90240 | 33.9508 | -118.1253 | https://academyjj.com | Checkmat
Academy Jiu-Jitsu Downtown Downey | 11012 Downey Ave | Downey | CA | 90241 | 33.9413 | -118.1326 | https://academyjj.com | Checkmat
